instance,variant,obj,optimal,time,sol
1,gecode,14,True,0,"[[4, 3, 1], [2, 5, 6]]"
1,chuffed,14,True,0,"[[4, 3, 1], [2, 5, 6]]"
1,gecode_search,14,False,300,"[[1, 3, 4], [2, 5, 6]]"
10,gecode,244,True,1,"[[10], [9], [8], [7], [6], [5], [4], [11, 3], [12, 2], [13, 1]]"
10,chuffed,244,True,1,"[[1, 2], [9], [5], [6, 11], [4, 8], [12], [10], [13], [7], [3]]"
11,gecode,743,False,300,"[[84, 60, 104, 40, 124, 20], [85, 59, 105, 39, 125, 19], [86, 58, 106, 38, 126, 18], [87, 57, 107, 37, 127, 17], [88, 56, 108, 36, 128, 16], [89, 55, 109, 35, 129, 15], [90, 54, 110, 34, 130, 14], [91, 53, 111, 33, 131, 13], [92, 52, 112, 32, 132, 12], [113, 31, 93, 51, 133, 11], [74, 69, 134, 10, 114, 30, 94, 50], [115, 29, 135, 9, 95, 49], [72, 116, 28, 96, 48, 76, 68, 136, 8], [77, 67, 70, 117, 27, 73, 71, 137, 7, 97, 47, 75], [78, 66, 98, 46, 118, 26, 138, 6], [79, 65, 99, 45, 119, 25, 139, 5], [140, 4, 120, 24, 100, 44, 80, 64], [81, 63, 101, 43, 121, 23, 141, 3], [122, 22, 102, 42, 142, 2, 82, 62], [123, 21, 83, 61, 103, 41, 143, 1]]"
11,chuffed,-1,False,300,[]
11,gecode_search,394,False,300,"[[54, 21, 60, 89, 70, 36, 1, 95, 56], [62, 112, 86, 2, 78, 27, 122], [20, 136, 69, 33, 139], [41, 138, 9, 143], [71, 98, 130, 67, 100, 14, 92, 91, 15], [132, 24, 19, 23, 119, 117], [31, 131, 137, 141, 113], [77, 87, 6, 76, 85, 94, 58, 52, 79, 105, 64, 99, 59], [75, 111, 80, 127, 40, 43, 65], [63, 25, 53, 101, 103, 51, 66, 47], [3, 110, 35, 28, 104, 42, 134, 68], [5, 120, 126, 88, 81], [7, 57, 108, 121, 90], [72, 46, 44, 29, 116, 82, 39], [123, 97, 140, 118, 17, 107, 55], [74, 114, 129, 133, 50, 61, 4, 18, 106, 135], [8, 16, 26, 13, 93, 73, 96, 102], [37, 32, 84, 11, 34], [45, 30, 124, 83, 48, 10], [125, 142, 12, 49, 128, 38, 22, 109, 115]]"
12,gecode,481,False,300,"[[56, 40, 76, 20], [52, 77, 19, 57, 39, 44], [58, 38, 78, 18], [59, 37, 79, 17], [60, 36, 80, 16], [61, 35, 81, 15], [62, 34, 82, 14], [83, 13, 43, 63, 33, 45], [64, 32, 84, 12], [65, 31, 51, 85, 11], [86, 10, 53, 50, 66, 30], [67, 29, 87, 9], [88, 8, 68, 28], [89, 7, 69, 27], [70, 26, 49, 90, 6], [91, 5, 48, 46, 71, 25], [92, 4, 72, 24, 47], [73, 23, 93, 3], [54, 42, 74, 22, 94, 2], [55, 41, 75, 21, 95, 1]]"
12,chuffed,-1,False,300,[]
