instance,variant,obj,optimal,time,sol
1,glpk,14,True,0,"[[1, 3, 4], [2, 5, 6]]"
1,cbc,14,True,1,"[[4, 3, 1], [2, 5, 6]]"
1,highs,14,True,0,"[[4, 3, 1], [2, 5, 6]]"
10,glpk,244,True,0,"[[12], [11, 7], [8], [5], [4], [3], [1, 6], [9], [13], [10, 2]]"
10,cbc,244,True,0,"[[11], [3], [9], [5], [1], [12], [8, 2], [4], [10, 13], [6, 7]]"
10,highs,244,True,1,"[[11, 1], [8], [6, 9], [10], [4], [7, 13], [3], [5], [2], [12]]"
11,glpk,-1,False,300,[]
11,cbc,-1,False,300,[]
11,highs,-1,False,300,[]
12,glpk,-1,False,300,[]
12,cbc,-1,False,300,[]
12,highs,-1,False,300,[]
13,glpk,-1,False,300,[]
13,cbc,-1,False,300,[]
13,highs,646,False,300,"[[20, 29, 8, 5, 13, 33, 14, 28, 36, 12, 21, 47, 40, 38, 10, 11, 45, 37], [18, 17, 15, 25, 3, 34, 22, 27, 6, 42, 46, 43, 9], [32, 44, 31, 24, 39, 2, 30, 35, 7, 19, 4, 41, 1, 16, 26, 23]]"
14,glpk,-1,False,300,[]
14,cbc,-1,False,300,[]
14,highs,-1,False,300,[]
15,glpk,-1,False,300,[]
15,cbc,-1,False,300,[]
15,highs,-1,False,300,[]
16,glpk,-1,False,300,[]
16,cbc,-1,False,300,[]
16,highs,362,False,300,"[[26, 5, 28, 14], [25, 15, 46], [9, 16], [4, 8], [43, 24, 39], [44, 2], [47, 21, 12], [31, 37], [27, 6], [11, 45], [32, 35], [34, 22], [29, 1], [41, 20], [18], [30, 13], [23, 33], [7, 19, 3, 42], [36, 17, 40, 38], [10]]"
17,glpk,-1,False,300,[]
17,cbc,-1,False,300,[]
17,highs,-1,False,300,[]
18,glpk,-1,False,300,[]
18,cbc,-1,False,300,[]
18,highs,-1,False,300,[]
19,glpk,-1,False,300,[]
19,cbc,-1,False,300,[]
19,highs,-1,False,300,[]
2,glpk,226,True,0,"[[2], [8], [6], [7, 9], [4, 1], [5, 3]]"
2,cbc,226,True,0,"[[8], [2, 3], [5, 7], [9], [6], [4, 1]]"
2,highs,226,True,0,"[[9], [3], [7, 2], [1, 4], [5], [6, 8]]"
20,glpk,-1,False,300,[]
20,cbc,-1,False,300,[]
20,highs,-1,False,300,[]
21,glpk,-1,False,300,[]
21,cbc,-1,False,300,[]
21,highs,-1,False,300,[]
3,glpk,12,True,0,"[[5, 4, 2], [7, 3], [1, 6]]"
3,cbc,12,True,0,"[[3, 6, 5], [4, 2], [1, 7]]"
3,highs,12,True,0,"[[3, 6, 5], [4, 2], [7, 1]]"
4,glpk,220,True,0,"[[3], [8], [6], [4], [5, 1], [2], [9], [7, 10]]"
4,cbc,220,True,0,"[[7], [2, 6, 9], [8], [1], [3], [5], [4], [10]]"
4,highs,220,True,0,"[[5], [4], [1], [2], [7], [10], [9, 8], [3, 6]]"
5,glpk,206,True,0,"[[2], [1, 3]]"
5,cbc,206,True,0,"[[2], [1, 3]]"
5,highs,206,True,0,"[[2], [1, 3]]"
6,glpk,322,True,0,"[[7, 5], [2], [3, 6], [1], [4], [8]]"
6,cbc,322,True,0,"[[4], [1], [5], [2, 3], [6, 7], [8]]"
6,highs,322,True,0,"[[3], [6], [8], [4, 1, 5], [7], [2]]"
7,glpk,234,False,300,"[[4], [10, 5], [7, 14, 1, 12], [9, 8], [6, 3, 17, 16], [15, 13, 11, 2]]"
7,cbc,-1,False,300,[]
7,highs,167,True,33,"[[2, 9], [12, 13, 4, 14], [7, 6], [1, 3, 17], [11, 5], [15, 10, 16, 8]]"
8,glpk,186,True,0,"[[7, 4, 2], [8], [3], [5], [6], [9], [10], [1]]"
8,cbc,186,True,0,"[[8], [4], [9, 7], [10, 3], [6], [5], [1], [2]]"
8,highs,186,True,0,"[[4], [8], [2], [6, 10], [1], [7, 9], [3], [5]]"
9,glpk,436,True,0,"[[7, 5], [9], [2, 11], [6], [4], [1], [10], [3], [12], [13, 8]]"
9,cbc,436,True,0,"[[9], [6, 7], [2], [5], [8], [4], [10, 1], [3], [11, 13], [12]]"
9,highs,436,True,1,"[[6], [5, 7], [4, 13], [3], [11], [1], [9, 8], [2], [12], [10]]"
