instance,variant,obj,optimal,time,sol
1,assign_int,14,True,0,"[[1, 3, 4], [2, 5, 6]]"
1,boolean,14,True,0,"[[1, 3, 4], [2, 5, 6]]"
2,assign_int,226,True,4,"[[5, 3], [7], [6, 9], [8], [4, 1], [2]]"
2,boolean,226,True,5,"[[5], [6, 8], [2], [9, 3], [1, 4], [7]]"
3,assign_int,12,True,0,"[[3, 6, 5], [2, 4], [1, 7]]"
3,boolean,12,True,0,"[[5, 4, 2], [6, 3], [7, 1]]"
4,assign_int,220,True,0,"[[10, 9, 4], [2], [7], [8], [5], [1], [3], [6]]"
4,boolean,220,True,12,"[[3], [9], [7, 5], [4], [6], [1, 10], [8], [2]]"
5,assign_int,206,True,0,"[[2], [1, 3]]"
5,boolean,206,True,0,"[[2], [1, 3]]"
6,assign_int,322,True,0,"[[7, 5, 4], [2], [6], [8], [3], [1]]"
6,boolean,322,True,0,"[[1, 2], [6], [4], [5], [7, 8], [3]]"
7,assign_int,168,False,300,"[[6, 17, 14], [13, 4], [8, 2, 9], [1, 3, 16, 15], [10, 11, 12], [5, 7]]"
7,boolean,185,False,300,"[[17, 2, 5], [12, 11, 15], [1], [4, 3, 8], [9, 14, 13, 7], [16, 10, 6]]"
8,assign_int,186,True,3,"[[5, 6], [9], [8], [2, 10], [1], [7], [4], [3]]"
8,boolean,186,True,7,"[[6], [10], [9, 7], [4], [2, 1], [3], [8], [5]]"
9,assign_int,436,True,0,"[[13, 2], [11], [7], [1], [10, 3, 12], [6], [4], [9], [5], [8]]"
9,boolean,436,True,25,"[[7, 1, 10], [8], [9], [13], [5], [11], [3], [12], [2], [6, 4]]"
10,assign_int,244,True,21,"[[11], [2, 1], [13], [8, 4], [3], [7], [12], [6], [9], [10, 5]]"
10,boolean,244,True,0,"[[13], [10], [2], [8], [1], [9], [6], [3], [12], [5, 4, 11, 7]]"
11,assign_int,-1,False,300,[]
11,boolean,-1,False,300,[]
12,assign_int,-1,True,0,[]
12,boolean,-1,True,0,[]
13,assign_int,1726,False,300,"[[3, 27, 9, 45, 6, 22, 4, 8, 10, 5, 1, 38, 7, 19, 2, 12, 16, 18, 20, 24, 40], [35, 17, 14, 26, 11, 13, 15, 21, 29, 31, 33, 43], [23, 25, 28, 30, 32, 34, 36, 37, 39, 41, 42, 44, 46, 47]]"
13,boolean,1924,False,300,"[[41, 15, 23, 34, 36, 29, 35, 17, 24, 40, 4, 37, 38, 19, 12, 25, 16, 39, 42, 14, 21, 32], [13, 8, 6, 10, 11, 22, 33, 44, 2, 45, 31, 28, 26, 47], [3, 5, 20, 9, 1, 27, 7, 18, 30, 43, 46]]"
14,assign_int,-1,False,300,[]
14,boolean,-1,False,300,[]
15,assign_int,-1,False,300,[]
15,boolean,-1,False,300,[]
16,assign_int,1096,False,300,"[[29, 25, 19], [4, 40, 41, 18, 42, 30, 11, 3, 15, 13, 20, 34, 37], [5, 10, 17, 44, 22], [24, 31], [16, 46, 23], [36], [14], [45], [26], [9], [6], [43], [38], [8, 7, 47, 27, 2], [32], [28], [12], [1], [33, 35, 21], [39]]"
16,boolean,965,False,300,"[[25], [15], [24], [37], [18], [29, 6, 16, 8], [38], [20], [40], [21], [43], [30], [4, 5, 2, 1, 42, 12, 3, 33, 32, 22], [45], [36], [44], [19], [17, 26, 28], [14, 13], [41, 9, 27, 10, 31, 34, 35, 39, 23, 46, 11, 7, 47]]"
17,assign_int,-1,False,257,[]
17,boolean,-1,False,300,[]
18,assign_int,-1,False,300,[]
18,boolean,-1,False,300,[]
19,assign_int,-1,False,300,[]
19,boolean,1867,False,300,"[[23, 17], [56, 4, 47, 41, 27, 22, 12], [11, 59], [61, 5], [50], [64, 46], [28], [65], [20], [8], [25], [68], [24, 67, 36, 3, 70, 45, 57, 71, 37, 63], [10], [38, 44, 30, 26, 29, 33, 9, 16, 1], [34], [52], [43], [55, 54, 6], [14, 40, 58, 48, 69, 49, 35, 62, 66, 39, 13, 32, 51, 31, 15, 19, 18, 7, 2, 21, 42, 53, 60]]"
20,assign_int,-1,False,300,[]
20,boolean,-1,False,300,[]
21,assign_int,-1,False,300,[]
21,boolean,-1,False,300,[]
